code,lu,Flor_Cov_P1_mean,Flor_Cov_P1_var,Flor_Cov_P1_alpha,Flor_Cov_P1_beta,Flor_Cov_P2_mean,Flor_Cov_P2_var,Flor_Cov_P2_alpha,Flor_Cov_P2_beta,Flor_Cov_P3_mean,Flor_Cov_P3_var,Flor_Cov_P3_alpha,Flor_Cov_P3_beta
0,Water etc.,0,0.000625,6.31E-06,0.009987367,0,0.000625,6.31E-06,0.009987367,0,0.0025,2.52E-05,0.009949374
1,Afforestation,2.273662551,0.000495548,0.996740569,42.84180392,2.273662551,0.000495548,0.996740569,42.84180392,9.701646091,0.011958379,0.613703284,5.712061215
2,"Beaches, Sand Dunes/Plane",2.372685185,0.000264711,2.052524443,84.45387158,2.372685185,0.000264711,2.052524443,84.45387158,14.875,0.011950625,1.427337973,8.168211423
3,Coniferous Woodland,0.346809354,3.24E-05,3.67E-01,105.3322045,0.346809354,3.24E-05,3.67E-01,105.3322045,2.214666667,0.000652015,0.713438621,31.50082783
4,Deciduous Woodland,5.801248699,0.001245788,2.486730951,40.378712,5.801248699,0.001245788,2.486730951,40.378712,13.4430727,0.00481482,3.114338877,20.05252889
5,Ditches,4.662629758,0.001160138,1.739924226,35.57644694,4.662629758,0.001160138,1.739924226,35.57644694,15.38319483,0.002095578,9.401503597,51.71391294
6,Fallow in AES,4.888042475,0.001399593,1.574809925,30.64278911,4.888042475,0.001399593,1.574809925,30.64278911,17.63257576,0.008640267,2.787548954,13.02153641
7,Suburbs,11.15384615,0.00559298,1.864724085,14.85349185,11.15384615,0.00559298,1.864724085,14.85349185,39.39446367,0.026930532,3.098566048,4.766920011
8,Golf Courses,2.982804233,3.77E-04,2.2620725,73.57503659,2.982804233,3.77E-04,2.2620725,73.57503659,12.39583333,0.004385851,2.945221786,20.8145506
9,Grass and Legume Ley,5.416666667,0.001519167,1.77255935,30.95161326,5.416666667,0.001519167,1.77255935,30.95161326,38,0.045586667,1.583907575,2.584270254
10,Grass Ley,1.19047619,1.34E-04,1.032383109,85.68779807,1.19047619,1.34E-04,1.032383109,85.68779807,6.266666667,0.002770778,1.265845557,18.93381759
11,Grassy Field Edges,3.476,0.000359269,3.211436505,89.17741578,3.476,0.000359269,3.211436505,89.17741578,13.06134259,0.010829057,1.238999808,8.2470067
12,Hedgerows,10.56167738,0.00206246,4.731693424,40.0688932,10.56167738,0.00206246,4.731693424,40.0688932,20.60462963,0.016245941,1.868771388,7.200896068
13,Improved Meadow,2.611914601,0.000163163,4.045838936,150.8535186,2.611914601,0.000163163,4.045838936,150.8535186,14.16666667,0.00257716,6.54253992,39.64009481
14,Improved Permanent Grassland,1.586888658,2.24E-04,1.09192028,67.7169577,1.586888658,2.24E-04,1.09192028,67.7169577,6.767261088,0.000928051,4.533011156,62.45141721
15,Moorland,2.190631537,1.28E-04,3.651280326,163.0257836,2.190631537,1.28E-04,3.651280326,163.0257836,18.77210197,0.005373101,5.139564625,22.23917343
16,Organic Ley,4.388888889,0.000198765,9.22177795,200.8946817,4.388888889,0.000198765,9.22177795,200.8946817,21.39259259,0.007352713,4.678707535,17.19198212
17,Poplar,7.976190476,0.003826531,1.450219136,16.73163272,7.976190476,0.003826531,1.450219136,16.73163272,0.987654321,0.000243865,0.38617284,38.71382716
18,Salix,12.09829868,0.002313314,5.440765787,39.53056392,12.09829868,0.002313314,5.440765787,39.53056392,3.746556474,0.001549897,0.834256176,21.43302265
19,Salt Marsh,0.991735537,9.88E-05,0.975602696,97.39766919,0.991735537,9.88E-05,0.975602696,97.39766919,14.04320988,0.015549221,0.949763269,5.813386162
20,Scrub,4.718934911,0.001253719,1.645177101,33.21813702,4.718934911,0.001253719,1.645177101,33.21813702,14.4604481,0.002846427,6.13931324,36.31658575
21,Unimproved Meadow,4.325584337,0.000997869,1.750700346,38.72245218,4.325584337,0.000997869,1.750700346,38.72245218,29.03058695,0.015249722,3.631814643,8.878489226
22,Unimproved Permanent Grassland,2.76594861,3.12E-04,2.358371104,82.90608739,2.76594861,3.12E-04,2.358371104,82.90608739,21.4338027,0.019074425,1.677930407,6.15050037
23,Wetlands,1.328125,2.79E-05,6.226075643,462.5607963,1.328125,2.79E-05,6.226075643,462.5607963,14.44444444,0.00398534,4.334591804,25.67412068
24,Woodland Edges,6.767578125,0.00208445,1.980853335,27.28889869,6.767578125,0.00208445,1.980853335,27.28889869,19.06988069,0.010262685,2.677076514,11.36116818
25,Blank1,10.56167738,0.00206246,4.731693424,40.0688932,10.56167738,0.00206246,4.731693424,40.0688932,20.60462963,0.016245941,1.868771388,7.200896068
26,Blank2,4.662629758,0.001160138,1.739924226,35.57644694,4.662629758,0.001160138,1.739924226,35.57644694,15.38319483,0.002095578,9.401503597,51.71391294
27,Berries (exc. Strawberries & Raspberries),0.84162415,4.48E-05,1.558171962,183.5805224,7.574617347,3.63E-03,1.384468487,16.89326653,23.30666667,0.034881422,0.961261734,3.163145018
28,Broad/Field Beans,0.50900277,2.61E-05,9.83E-01,192.0718273,4.581024931,2.11E-03,0.901505555,18.77761796,12.09883218,0.009189021,1.279283292,9.294326403
29,Buckwheat,0,0.000625,6.31E-06,0.009987367,0,0.000625,6.31E-06,0.009987367,1.666666667,0.001775174,0.137204564,8.095069275
30,Cereal,0.304930796,1.81E-05,5.10E-01,166.6998203,0.304930796,1.81E-05,5.10E-01,166.6998203,1.632653061,2.85E-04,0.904428667,54.49182718
