species,short_notation,best_guess
1,surv.forage,1.00E+00
1,surv.winter,1.00E+00
1,aw,1.00E+02
1,bw,2.00E+02
1,aq,1.50E+04
1,bq,3.00E+04
1,QEmax,1.60E+02
1,Wmax,6.00E+02
1,pw,5.00E-01
2,surv.forage,1.00E+00
2,surv.winter,1.00E+00
2,aw,NA
2,bw,NA
2,aq,4.20E+01
2,bq,1.20E+01
2,QEmax,2.00E+00
2,Wmax,NA
2,pw,NA
6,surv.forage,1.00E+00
6,surv.winter,1.00E+00
6,aw,NA
6,bw,NA
6,aq,4.20E+01
6,bq,1.20E+01
6,QEmax,2.00E+00
6,Wmax,NA
6,pw,NA
8,surv.forage,1.00E+00
8,surv.winter,1.00E+00
8,aw,1.00E+02
8,bw,2.00E+02
8,aq,1.50E+04
8,bq,3.00E+04
8,QEmax,1.60E+02
8,Wmax,6.00E+02
8,pw,5.00E-01
